HEX,L*,a*,b*
#f8f7f2,97.18252881642348,-0.5397940478102936,2.5189724282769
#99a2af,66.29590067769725,-0.5103398374713408,-7.808083662624643
#51617a,40.740723761210525,0.408916248711394,-16.006300530439745
#edd4be,86.41036275734591,5.245165854091405,14.059160585691721
#946b55,48.84488084372896,13.416486392911764,18.774795132782906
#79553d,39.41105448838598,11.827717893935773,19.91105239698483
#385076,33.74323310408512,2.575140780685742,-24.50219212581888
#7d8fb5,59.28773725546495,2.607799265537669,-21.961308709434093
#9fc1da,76.41839238764511,-5.739682404357516,-16.219210212166747
#98c1ef,76.70610450953548,-2.5522159609060457,-27.149191063588418
#4474b6,48.37999869750493,4.594370770365841,-39.7672685457755
#6b88cc,57.164891231214696,8.216812403000262,-38.36335499825352
#cde692,87.79905953382335,-21.70547164234371,38.24462806665028
#1fb585,65.77203901775708,-48.66707948181842,14.073653159299603
#029666,54.84840449896508,-45.616954980893134,16.039760903430288
#f8f0a5,93.8810730577603,-8.196638007929247,37.28350096430113
#ccf7f0,94.16165585030578,-15.097046331772834,-1.212370112622141
#c48796,62.73298799920967,25.499165778978483,1.4908410419390838
#f9d1df,87.51913567952255,16.21378692752462,-1.6499833078051918
#ffbdd8,83.23992324997135,27.678765279909868,-4.141451116522887
#f66779,62.235893568388065,56.22133737421742,18.30532848242161
#ea264e,51.1914215043918,72.15758877293693,28.52918780206799
#fc0b3e,53.264716035734665,79.66233278636942,41.25909642873341
#CF0000,43.16702791443826,68.43997108128858,57.42566845624195
#d25573,53.42785477168091,51.891065175792114,8.692003708324837
#ad0550,37.06799783928779,62.25913396612609,6.191679983576359
#a61415,35.32935894073138,55.480350494791494,40.202920573276515
#e0a4ee,75.18454270750641,34.55500132337136,-28.45121450172423
#baa9d6,72.00729930136991,14.841754198296531,-20.527834367327813
#6e0056,23.63074004897851,49.30229440091194,-19.255168049277593
